plot,spnurse,das_m,H_arvore_m,H_copa_m,diam_copaN_m,diam_copaL_m,diam_medio
141,umbu,19,8,7,17.7,13.1,15.4
143,umbu,17,9,8,12,17.8,14.9
144,angico,1.18,10,9,12.6,11.4,12
145,juca,0.6,4.5,2.5,6.3,6,6.15
146,paubranco,0.32,5.5,4,2.3,2.6,2.45
147,pereiro,14,5,3.5,9.5,6.7,8.1
148,juca,1.33,4,3.5,7.7,9.4,8.55
149,cumaru,0.56,4.5,3,5.2,5.6,5.4
150,imbiratanha,0.59,4.5,2,3,2.9,2.95
151,imburana,0.5,4,3,4.7,3.7,4.2
152,mororo,0.19,1.9,1,3.9,4,3.95
153,favelinha,0.23,4.5,2,1.9,2,1.95
154,favelinha,0.27,5.5,4,0.8,0.68,0.74
155,favelinha,0.2,6.5,2,1.6,1.4,1.5
156,algodao,0.47,7,5,5.4,4.6,5
157,algodao,0.4,6,4,4.5,4.2,4.35
158,umbu,0.0124,4.5,4,11.9,12,11.95
159,imburana,0.44,2.2,1,2.9,3.8,3.35
160,imbiratanha,0.47,6,2,2.2,2.7,2.45
